20	17	E	-1.3081369295399807E7	200
transitionprobs	20	16	3.1084092669270066E-4
transitionprobs	20	17	0.00931716219950206
transitionprobs	20	18	5.868135156232055E-4
transitionprobs	20	19	0.0024325738158793605
transitionprobs	20	20	0.5323648670835793
emissionprobs	1	0	5fC	0	0.9730040994326562
emissionprobs	1	0	5fC	1	0.026995900567343772
emissionprobs	1	1	5hmC	0	0.8267594515292228
emissionprobs	1	1	5hmC	1	0.17324054847077713
emissionprobs	1	2	5mC	0	0.9842414145793332
emissionprobs	1	2	5mC	1	0.01575858542066683
emissionprobs	1	3	CTCF	0	0.966916563132913
emissionprobs	1	3	CTCF	1	0.03308343686708712
emissionprobs	1	4	H2AZ	0	0.9996277410068652
emissionprobs	1	4	H2AZ	1	3.722589931347725E-4
emissionprobs	1	5	H2Aub1	0	0.9895533336513448
emissionprobs	1	5	H2Aub1	1	0.010446666348655176
emissionprobs	1	6	H3K27ac	0	0.940700626609598
emissionprobs	1	6	H3K27ac	1	0.05929937339040196
emissionprobs	1	7	H3K27me3	0	0.9976086203689204
emissionprobs	1	7	H3K27me3	1	0.002391379631079634
emissionprobs	1	8	H3K36me2	0	0.9903035349771997
emissionprobs	1	8	H3K36me2	1	0.00969646502280026
emissionprobs	1	9	H3K36me3	0	0.6311580340685046
emissionprobs	1	9	H3K36me3	1	0.36884196593149543
emissionprobs	1	10	H3K4me1	0	0.5226258634951024
emissionprobs	1	10	H3K4me1	1	0.4773741365048975
emissionprobs	1	11	H3K4me2	0	0.875743098708061
emissionprobs	1	11	H3K4me2	1	0.12425690129193902
emissionprobs	1	12	H3K4me3	0	0.9705346253070976
emissionprobs	1	12	H3K4me3	1	0.02946537469290256
emissionprobs	1	13	H3K79me2	0	0.3874141253393655
emissionprobs	1	13	H3K79me2	1	0.6125858746606344
emissionprobs	1	14	H3K9ac	0	0.9736722402024748
emissionprobs	1	14	H3K9ac	1	0.026327759797525295
emissionprobs	1	15	H3K9me3	0	0.9942315577128142
emissionprobs	1	15	H3K9me3	1	0.005768442287185734
